Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,BDR1-FAB1,Ethernet1,198.18.249.9/31,spine,SPN1-FAB1,Ethernet1,198.18.249.8/31
l3leaf,BDR1-FAB1,Ethernet2,198.18.249.11/31,spine,SPN2-FAB1,Ethernet1,198.18.249.10/31
l3leaf,BDR1-FAB1,Ethernet3,172.16.100.0/31,l3leaf,BDR1-FAB2,Ethernet3,172.16.100.1/31
l3leaf,BDR1-FAB2,Ethernet1,198.18.251.49/31,spine,SPN1-FAB2,Ethernet1,198.18.251.48/31
l3leaf,BDR1-FAB2,Ethernet2,198.18.251.51/31,spine,SPN2-FAB2,Ethernet1,198.18.251.50/31
l3leaf,BDR2-FAB1,Ethernet1,198.18.249.13/31,spine,SPN1-FAB1,Ethernet2,198.18.249.12/31
l3leaf,BDR2-FAB1,Ethernet2,198.18.249.15/31,spine,SPN2-FAB1,Ethernet2,198.18.249.14/31
l3leaf,BDR2-FAB1,Ethernet3,172.16.100.2/31,l3leaf,BDR2-FAB2,Ethernet3,172.16.100.3/31
l3leaf,BDR2-FAB2,Ethernet1,198.18.251.53/31,spine,SPN1-FAB2,Ethernet2,198.18.251.52/31
l3leaf,BDR2-FAB2,Ethernet2,198.18.251.55/31,spine,SPN2-FAB2,Ethernet2,198.18.251.54/31
l3leaf,DLF1-FAB1,Ethernet1,198.18.249.25/31,spine,SPN1-FAB1,Ethernet5,198.18.249.24/31
l3leaf,DLF1-FAB1,Ethernet2,198.18.249.27/31,spine,SPN2-FAB1,Ethernet5,198.18.249.26/31
l3leaf,DLF1-FAB2,Ethernet1,198.18.251.65/31,spine,SPN1-FAB2,Ethernet5,198.18.251.64/31
l3leaf,DLF1-FAB2,Ethernet2,198.18.251.67/31,spine,SPN2-FAB2,Ethernet5,198.18.251.66/31
l3leaf,DLF2-FAB1,Ethernet1,198.18.249.29/31,spine,SPN1-FAB1,Ethernet6,198.18.249.28/31
l3leaf,DLF2-FAB1,Ethernet2,198.18.249.31/31,spine,SPN2-FAB1,Ethernet6,198.18.249.30/31
l3leaf,DLF2-FAB2,Ethernet1,198.18.251.69/31,spine,SPN1-FAB2,Ethernet6,198.18.251.68/31
l3leaf,DLF2-FAB2,Ethernet2,198.18.251.71/31,spine,SPN2-FAB2,Ethernet6,198.18.251.70/31
l3leaf,DLF3-FAB1,Ethernet1,198.18.249.33/31,spine,SPN1-FAB1,Ethernet7,198.18.249.32/31
l3leaf,DLF3-FAB1,Ethernet2,198.18.249.35/31,spine,SPN2-FAB1,Ethernet7,198.18.249.34/31
l3leaf,DLF3-FAB2,Ethernet1,198.18.251.73/31,spine,SPN1-FAB2,Ethernet7,198.18.251.72/31
l3leaf,DLF3-FAB2,Ethernet2,198.18.251.75/31,spine,SPN2-FAB2,Ethernet7,198.18.251.74/31
l3leaf,DLF4-FAB1,Ethernet1,198.18.249.37/31,spine,SPN1-FAB1,Ethernet8,198.18.249.36/31
l3leaf,DLF4-FAB1,Ethernet2,198.18.249.39/31,spine,SPN2-FAB1,Ethernet8,198.18.249.38/31
l3leaf,DLF4-FAB2,Ethernet1,198.18.251.77/31,spine,SPN1-FAB2,Ethernet8,198.18.251.76/31
l3leaf,DLF4-FAB2,Ethernet2,198.18.251.79/31,spine,SPN2-FAB2,Ethernet8,198.18.251.78/31
spine,SPN1-FAB1,Ethernet3,198.18.249.16/31,l3leaf,SVC1-FAB1,Ethernet1,198.18.249.17/31
spine,SPN1-FAB1,Ethernet4,198.18.249.20/31,l3leaf,SVC2-FAB1,Ethernet1,198.18.249.21/31
spine,SPN1-FAB2,Ethernet3,198.18.251.56/31,l3leaf,SVC1-FAB2,Ethernet1,198.18.251.57/31
spine,SPN1-FAB2,Ethernet4,198.18.251.60/31,l3leaf,SVC2-FAB2,Ethernet1,198.18.251.61/31
spine,SPN2-FAB1,Ethernet3,198.18.249.18/31,l3leaf,SVC1-FAB1,Ethernet2,198.18.249.19/31
spine,SPN2-FAB1,Ethernet4,198.18.249.22/31,l3leaf,SVC2-FAB1,Ethernet2,198.18.249.23/31
spine,SPN2-FAB2,Ethernet3,198.18.251.58/31,l3leaf,SVC1-FAB2,Ethernet2,198.18.251.59/31
spine,SPN2-FAB2,Ethernet4,198.18.251.62/31,l3leaf,SVC2-FAB2,Ethernet2,198.18.251.63/31
